date,pm25,pm10,o3,no2,so2
2019/5/18,44,11,30,11,
2019/5/19,41,6,29,10,
2019/5/20,20,8,20,11,
2019/5/21,25,8,25,8,
2019/5/22,25,11,19,14,
2019/5/23,38,10,22,8,1
2019/5/24,33,8,23,6,
2019/5/25,24,9,20,5,
2019/5/26,33,9,20,10,
2019/5/27,30,8,25,10,
2019/5/28,32,8,20,9,
2019/5/29,34,11,18,7,
2019/5/30,47,13,21,6,
2019/5/31,52,12,15,13,1
2019/6/1,48,11,20,6,
2019/6/2,44,14,22,4,
2019/6/3,47,9,23,15,
2019/6/4,36,8,22,9,
2019/6/5,31,7,26,8,
2019/6/6,26,9,29,12,1
2019/6/7,33,8,23,8,
2019/6/8,33,8,19,8,
2019/6/9,26,9,24,13,
2019/6/10,39,9,24,9,
2019/6/11,37,8,17,14,
2019/6/12,31,8,19,11,
2019/6/13,31,9,22,11,
2019/6/14,31,9,15,14,
2019/6/15,33,9,17,13,
2019/6/16,34,8,26,8,
2019/6/17,28,8,27,7,
2019/6/18,29,9,25,6,
2019/6/19,32,7,22,8,
2019/6/20,25,7,23,7,
2019/6/21,25,8,26,8,1
2019/6/22,26,8,27,14,
2019/6/23,29,18,25,15,
2019/6/24,58,16,22,13,1
2019/6/25,57,13,22,11,
2019/6/26,49,14,26,13,
2019/6/27,48,17,30,16,
2019/6/28,54,17,27,13,
2019/6/29,55,6,22,5,
2019/6/30,22,7,18,8,
2019/1/2,27,11,14,14,2
2019/1/3,25,13,13,15,
2019/1/4,42,11,20,11,
2019/1/5,41,15,20,15,1
2019/1/6,55,12,20,13,
2019/1/7,42,15,19,3,
2019/1/8,54,10,24,11,1
2019/1/9,30,15,14,19,1
2019/1/10,48,18,9,18,
2019/1/11,56,16,13,14,
2019/1/12,55,7,22,4,
2019/1/13,24,5,26,3,
2019/1/14,16,9,20,9,
2019/1/15,22,7,20,6,
2019/1/16,20,4,25,9,
2019/1/17,11,8,17,21,1
2019/1/18,26,15,24,13,1
2019/1/19,52,20,7,20,1
2019/1/20,67,19,13,13,
2019/1/21,66,15,23,13,
2019/1/22,54,7,24,12,
2019/1/23,24,9,16,14,
2019/1/24,34,10,14,15,1
2019/1/25,41,9,22,6,
2019/1/26,29,5,24,5,
2019/1/27,16,7,24,6,
2019/1/28,21,12,15,13,
2019/1/29,44,8,23,9,
2019/1/30,29,6,21,16,1
2019/1/31,23,23,23,14,1
2019/2/1,75,11,17,17,1
2019/2/2,40,12,16,14,1
2019/2/3,47,14,27,8,
2019/2/4,52,6,28,13,
2019/2/5,20,15,25,10,
2019/2/6,53,7,28,8,
2019/2/7,19,7,34,7,
2019/2/8,20,5,33,3,
2019/2/9,13,7,32,5,
2019/2/10,18,11,28,8,
2019/2/11,40,8,22,13,
2019/2/12,27,10,32,6,
2019/2/13,33,10,28,7,
2019/2/14,29,12,22,24,1
2019/2/15,33,23,30,10,
2019/2/16,65,12,32,5,
2019/2/17,37,10,35,2,
2019/2/18,30,6,32,5,
2019/2/19,16,6,32,6,
2019/2/20,14,4,35,4,
2019/2/21,10,4,32,6,
2019/2/22,12,15,35,6,
2019/2/23,44,22,29,12,
2019/2/24,61,27,30,12,1
2019/2/25,78,24,21,19,1
2019/2/26,75,37,14,31,1
2019/2/27,101,46,12,28,1
2019/2/28,124,44,16,21,
2019/3/1,119,26,22,15,
2019/3/2,76,25,22,12,
2019/3/3,75,27,23,13,
2019/3/4,76,9,26,8,
2019/3/5,33,7,32,7,
2019/3/6,20,7,26,10,
2019/3/7,25,10,30,8,
2019/3/8,34,9,28,10,
2019/3/9,29,10,35,4,
2019/3/10,30,,,,
2019/3/14,23,,32,,
2019/3/16,19,6,28,8,
2019/3/17,20,5,31,4,
2019/3/18,18,6,26,3,
2019/3/19,20,7,29,7,1
2019/3/20,25,6,23,9,
2019/3/21,22,12,21,10,
2019/3/22,33,10,28,6,
2019/3/23,24,9,26,8,1
2019/3/24,22,5,26,7,
2019/3/25,6,7,29,11,1
2019/3/26,10,13,30,14,
2019/3/27,42,12,32,16,
2019/3/28,41,16,32,14,
2019/3/29,54,17,24,19,
2019/3/30,56,22,17,14,1
2019/3/31,49,15,26,12,1
2018/10/1,19,5,23,5,
2018/10/2,14,3,16,5,
2018/10/3,8,4,14,6,
2018/10/4,13,4,14,6,
2018/10/5,13,8,18,11,
2018/10/6,26,8,16,12,
2018/10/7,29,5,22,5,
2018/10/8,12,5,28,3,
2018/10/9,11,9,30,8,
2018/10/10,32,15,29,6,
2018/10/11,50,7,28,4,
2018/10/12,22,10,21,11,
2018/10/13,42,5,17,10,
2018/10/14,18,14,16,19,1
2018/10/15,51,11,22,12,1
2018/10/16,40,9,21,11,1
2018/10/17,23,13,16,20,1
2018/10/18,42,12,20,14,
2018/10/19,44,17,21,11,
2018/10/20,58,6,19,7,
2018/10/21,23,7,18,9,
2018/10/22,20,9,21,5,
2018/10/23,21,9,24,6,
2018/10/24,21,5,26,8,
2018/10/25,14,3,22,6,
2018/10/26,8,4,20,8,
2018/10/27,10,7,17,13,1
2018/10/29,24,26,22,14,1
2018/10/30,82,13,16,17,1
2018/10/31,50,12,18,13,
2018/11/1,48,32,16,16,
2018/11/2,95,13,20,14,
2018/11/3,51,7,26,3,
